,ID,Year_Birth,Age,Age_Group,Education,FamilySize,Income,IncomeClass,Dt_Customer,Day_Customer,Day_Joined,Month_Joined,Year_Joined,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,T_AmountSpent,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,T_NPurchase,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,T_AcceptedCmpgn,Complain
0,5524,1957,57,Middle-aged,Undergraduate,1,58138.0,Middle,2012-09-04,663,Tuesday,September,2012,58,635.0,88.0,546.0,172.0,88.0,88.0,1617.0,3,8,10,4,7,25,0,0,0,0,0,0,0
1,2174,1954,60,Old,Undergraduate,3,46344.0,Lower Middle,2014-03-08,113,Saturday,March,2014,38,11.0,1.0,6.0,2.0,1.0,6.0,27.0,2,1,1,2,5,6,0,0,0,0,0,0,0
2,4141,1965,49,Middle-aged,Undergraduate,2,71613.0,Middle,2013-08-21,312,Wednesday,August,2013,26,426.0,49.0,127.0,111.0,21.0,42.0,776.0,1,8,2,10,4,21,0,0,0,0,0,0,0
3,6182,1984,30,Young Adults,Undergraduate,3,26646.0,Poor,2014-02-10,139,Monday,February,2014,26,11.0,4.0,20.0,10.0,3.0,5.0,53.0,2,2,0,4,6,8,0,0,0,0,0,0,0
4,5324,1981,33,Young Adults,Postgraduate,3,58293.0,Middle,2014-01-19,161,Sunday,January,2014,94,173.0,43.0,118.0,46.0,27.0,15.0,422.0,5,5,3,6,5,19,0,0,0,0,0,0,0
5,7446,1967,47,Middle-aged,Postgraduate,3,62513.0,Middle,2013-09-09,293,Monday,September,2013,16,520.0,42.0,98.0,0.0,42.0,14.0,716.0,2,6,4,10,6,22,0,0,0,0,0,0,0
6,965,1971,43,Middle-aged,Undergraduate,2,55635.0,Middle,2012-11-13,593,Tuesday,November,2012,34,235.0,65.0,164.0,50.0,49.0,27.0,590.0,4,7,3,7,6,21,0,0,0,0,0,0,0
7,6177,1985,29,Young Adults,Postgraduate,3,33454.0,Lower Middle,2013-05-08,417,Wednesday,May,2013,32,76.0,10.0,56.0,3.0,1.0,23.0,169.0,2,4,0,4,8,10,0,0,0,0,0,0,0
8,4855,1974,40,Middle-aged,Postgraduate,3,30351.0,Lower Middle,2013-06-06,388,Thursday,June,2013,19,14.0,0.0,24.0,3.0,3.0,2.0,46.0,1,3,0,2,9,6,0,0,0,0,0,0,0
9,5899,1950,64,Old,Postgraduate,4,5648.0,Poor,2014-03-13,108,Thursday,March,2014,68,28.0,0.0,6.0,1.0,1.0,13.0,49.0,1,1,0,0,20,2,1,0,0,0,0,1,0
